Time [s],Packet,Type,Identifier,Control,Data,CRC,ACK
5.043127250000000,26818,DATA,0x090,0x8,0xB5 0x53 0xA9 0xBA 0x0F 0x44 0x08 0x3C,0x6D6E,ACK
5.043251500000000,26819,DATA,0x090,0x8,0xCC 0x1D 0x45 0x3C 0x46 0x8B 0x74 0x43,0x6AD8,ACK
5.043364750000000,26820,DATA,0x090,0x8,0x8F 0x3A 0x5A 0x3F 0xE8 0x17 0xBA 0xBB,0x7120,ACK
5.043480875000000,26821,DATA,0x090,0x8,0x5F 0x2A 0x44 0x3C 0x26 0xCB 0x05 0xBF,0x0DC3,ACK
5.043603125000000,26822,DATA,0x090,0x8,0xC0 0x94 0xF1 0xBC 0x08 0x15 0x05 0x3E,0x62E1,ACK
5.043720375000000,26823,DATA,0x090,0x8,0x10 0x45 0x0F 0x3C 0x00 0x00 0x00 0x00,0x0AEA,ACK
5.043841625000000,26824,DATA,0x090,0x8,0x00 0x00 0x00 0x00 0x94 0x7E 0x33 0x3C,0x6D86,ACK
5.043968875000000,26825,DATA,0x090,0x8,0x78 0xE9 0xC7 0xB3 0x11 0xC0 0x29 0x38,0x3CCC,ACK
5.044082125000000,26826,DATA,0x090,0x8,0xB3 0x6C 0x96 0xB6 0xD5 0x00 0x97 0x01,0x6897,ACK
5.044196250000000,26827,DATA,0x090,0x8,0x7B 0x04 0x36 0x00 0x36 0x00 0x25 0x00,0x4CBB,ACK
5.044321500000000,26828,DATA,0x090,0x8,0x00 0x00 0x00 0x00 0x00 0x00 0x7F 0x02,0x34FF,ACK
5.044446750000000,26829,DATA,0x090,0x8,0x66 0xCC 0x66 0xCC 0x55 0xAA 0x55 0xAA,0x03E5,ACK
5.044561000000000,26830,DATA,0x090,0x8,0x01 0x10 0x0E 0x00 0xEE 0xFF 0xFF 0xFF,0x1787,ACK
5.044688250000000,26831,DATA,0x090,0x8,0x3C 0x00 0x00 0x00 0x33 0x00 0x00 0x00,0x7050,ACK
5.044812500000000,26832,DATA,0x090,0x8,0xF6 0x0E 0x66 0xCC 0x66 0xCC 0x55 0xAA,0x693C,ACK
5.044925625000000,26833,DATA,0x090,0x8,0x55 0xAA 0x01 0x10 0x0E 0x00 0xF0 0xFF,0x5845,ACK
5.045048875000000,26834,DATA,0x090,0x8,0xFF 0xFF 0x3E 0x00 0x00 0x00 0x34 0x00,0x2D26,ACK
5.045172125000000,26835,DATA,0x090,0x8,0x00 0x00 0xF7 0x0E 0x66 0xCC 0x66 0xCC,0x28A4,ACK
